年份,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
第一产业就业人员,26472,25535,23838,22372,21418,20908,20295,19515,18652,17715,
第二产业就业人员,22539,23226,23142,23057,22644,22295,21762,21356,21234,21543,
第三产业就业人员,27185,27493,29321,30920,32258,33042,34001,34911,35561,35806,
年份,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
第一产业固定资产,3712,4442,5399,6613,8095,9146,9810,11075,11136,13302,14275
第二产业固定资产,87371,99620,111876,122410,129557,132867,135970,144455,149005,149154,167395
第三产业固定资产,138609,167781,201496,233858,257865,282386,305949,322931,344071,356451,362877
年份,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
城镇就业人员(万人),36003,37287,38527,39703,40916,42051,43208,44292,45249,46271,46773
乡村就业人员(万人),40193,38967,37774,36646,35404,34194,32850,31490,30198,28793,27879
年份,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
第一产业增加值,44781.5,49084.6,53028.1,55626.3,57774.6,60139.2,62099.5,64745.2,70473.6,78030.9,83085.5
第二产业增加值,227035.1,244639.1,261951.6,277282.8,281338.9,295427.8,331580.5,364835.2,380670.6,383562.4,450904.5
第三产业增加值,216123.6,244856.2,277983.5,310654,349744.7,390828.1,438355.9,489700.8,535371,551973.7,609679.7
国民总收入(亿元),483392.8,537329,588141.2,644380.2,685571.2,742694.1,830945.7,915243.5,983751.2,1005451.3,1133239.8
国内生产总值(亿元),487940.2,538580,592963.2,643563.1,688858.2,746395.1,832035.9,919281.1,986515.2,1013567,1143669.7
人均国内生产总值(元),36277,39771,43497,46912,49922,53783,59592,65534,70078,71828,80976
农林牧渔业增加值(亿元),46122.6,50581.2,54692.4,57472.2,59852.6,62451,64660,67558.7,73576.9,81396.5,86775
年份,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
农业总产值,40339.62,44845.72,48943.94,51851.12,54205.34,55659.89,58059.76,61452.6,66066.45,71748.23,
林业总产值,3092.44,3406.97,3847.44,4189.98,4358.45,4635.9,4980.55,5432.61,5775.71,5961.58,
牧业总产值,25194.16,26491.21,27572.37,27963.39,28649.32,30461.17,29361.19,28697.4,33064.35,40266.67,
渔业总产值,7337.37,8403.91,9254.48,9877.54,10339.09,10892.92,11577.09,12131.51,12572.4,12775.86,
